match_id,team_A,team_B,score,cote,crowd,pts,bet,result
8,australie,turquie,1-2,9.25,28,,,
8,australie,turquie,1-3,15.38,11,,,
8,australie,turquie,1-4,32.35,1,,,
8,australie,turquie,1-5,79.35,0,,,
8,australie,turquie,2-0,29.59,1,50,,1
8,australie,turquie,2-1,18.03,2,,,
8,australie,turquie,2-2,19.16,1,,,
8,australie,turquie,2-3,32.38,1,,,
8,australie,turquie,2-4,66.69,0,,,
8,australie,turquie,2-5,154.12,0,,,
8,australie,turquie,3-0,85.12,0,,,
8,australie,turquie,3-1,53.47,0,,,
8,australie,turquie,3-2,59.49,0,,,
8,australie,turquie,3-3,88.01,0,,,
8,australie,turquie,3-4,176.71,0,,,
8,australie,turquie,4-1,183.96,0,,,
8,australie,turquie,4-2,,0,,,
9,allemagne,curacao,0-0,91.28,2,,,
9,allemagne,curacao,0-1,70.71,1,,,
9,allemagne,curacao,0-2,160.57,1,,,
9,allemagne,curacao,1-0,13.95,1,70,,
9,allemagne,curacao,1-1,65.66,0,20,,
9,allemagne,curacao,1-2,86.59,1,,,
9,allemagne,curacao,1-3,198.84,0,,,
9,allemagne,curacao,2-0,7.64,6,,,
9,allemagne,curacao,2-1,17.22,14,,,
9,allemagne,curacao,2-2,27.32,0,,,
9,allemagne,curacao,2-3,149.25,0,,,
9,allemagne,curacao,3-0,6.55,8,,1,
9,allemagne,curacao,3-1,12.79,2,70,,
9,allemagne,curacao,3-2,41.46,0,,,
9,allemagne,curacao,3-3,76.81,0,,,
9,allemagne,curacao,4-0,7.22,12,,,
9,allemagne,curacao,4-1,12.84,4,70,,
9,allemagne,curacao,4-2,40.26,0,,,
9,allemagne,curacao,4-3,125.4,0,,,
9,allemagne,curacao,5-0,7.39,12,,,
9,allemagne,curacao,5-1,17.36,2,70,,
9,allemagne,curacao,5-2,50.07,0,,,
9,allemagne,curacao,5-3,135.13,0,,,
9,allemagne,curacao,6-0,10.22,16,,,
9,allemagne,curacao,6-1,22.24,1,100,,
9,allemagne,curacao,6-2,69.76,0,,,
9,allemagne,curacao,6-3,164.24,0,,,
9,allemagne,curacao,7-0,18,2,,,
9,allemagne,curacao,7-1,,,100,,1
10,pays_bas,japon,0-0,11,3,,,
10,pays_bas,japon,0-1,11.6,3,,,
10,pays_bas,japon,0-2,20.02,1,,,
10,pays_bas,japon,0-3,49.62,0,,,
10,pays_bas,japon,0-4,141.64,0,,,
10,pays_bas,japon,1-0,8.4,5,,1,
10,pays_bas,japon,1-1,6.73,14,,,
10,pays_bas,japon,1-2,13.08,15,,,
10,pays_bas,japon,1-3,33.43,2,,,
10,pays_bas,japon,1-4,100.15,0,,,
10,pays_bas,japon,2-0,10.67,6,,,
10,pays_bas,japon,2-1,9.42,21,,,
10,pays_bas,japon,2-2,16.68,13,20,,1
10,pays_bas,japon,2-3,41.25,2,,,
10,pays_bas,japon,2-4,121.43,0,,,
10,pays_bas,japon,3-0,19.91,1,,,
10,pays_bas,japon,3-1,17.69,5,,,
10,pays_bas,japon,3-2,30.97,3,,,
10,pays_bas,japon,3-3,71.64,2,,,
10,pays_bas,japon,3-4,199.95,0,,,
10,pays_bas,japon,4-0,43.75,0,,,
10,pays_bas,japon,4-1,42.27,0,,,
10,pays_bas,japon,4-2,69.99,0,,,
10,pays_bas,japon,4-3,158.34,0,,,
10,pays_bas,japon,5-0,121.02,0,,,
10,pays_bas,japon,5-1,112.78,0,,,
10,pays_bas,japon,5-2,179.02,1,,,
11,cote_d_ivoire,equateur,0-0,6.24,23,,,
11,cote_d_ivoire,equateur,0-1,6.54,7,,,
11,cote_d_ivoire,equateur,0-2,11.83,2,,,
11,cote_d_ivoire,equateur,0-3,29.34,0,,,
11,cote_d_ivoire,equateur,0-4,87.69,0,,,
11,cote_d_ivoire,equateur,1-0,7.57,5,30,,1
11,cote_d_ivoire,equateur,1-1,6.1,28,,1,
11,cote_d_ivoire,equateur,1-2,12.51,7,,,
11,cote_d_ivoire,equateur,1-3,31.09,1,,,
11,cote_d_ivoire,equateur,1-4,92.58,0,,,
11,cote_d_ivoire,equateur,2-0,15.5,3,,,
11,cote_d_ivoire,equateur,2-1,14.31,11,,,
11,cote_d_ivoire,equateur,2-2,26.65,4,,,
11,cote_d_ivoire,equateur,2-3,59.31,0,,,
